guest,word,score
李行亮性格,危害,-0.0993733885139
李行亮性格,很多,0.590056545724
李行亮性格,知道,-0.316330302785
李行亮性格,最高,1.23680200685
李行亮性格,不是,-2.0
李行亮性格,不是,-2.0
葛夕性格,善良,1.25682766731
葛夕性格,容易,2.0
葛夕性格,成为,1.47322230702
葛夕性格,过度,-0.73982556103
葛夕性格,对不起,-1.539403075
葛夕性格,对不起,-1.539403075
葛夕性格,当然,1.3714116408
葛夕性格,好,2.07329376355
葛夕性格,爱人,1.9606614446
葛夕性格,爱人,1.9606614446
葛夕性格,好,2.07329376355
葛夕性格,生气,-1.50294149269
葛夕性格,好笑,1.43830397759
葛夕性格,坚决,-1.42251328008
葛夕性格,同意,0.010255531234
葛夕性格,怕,-1.37681821823
葛夕性格,离婚,-0.340345729153
葛夕性格,不到,-1.56278697058
葛夕性格,恋爱,0.235222061901
葛夕性格,独立,1.58237352948
葛夕性格,美丽,2.80266121728
葛夕性格,值得,2.36084310759
葛夕性格,爱人,1.9606614446
葛夕性格,朋友,0.997629821831
葛夕性格,喜欢,2.3566957262
葛夕性格,落落大方,2.72114901945
葛夕性格,直肠子,-1.39964315945
葛夕性格,特别,0.324544227082
葛夕性格,好,2.07329376355
葛夕性格,爱人,1.9606614446
葛夕性格,爱人,1.9606614446
葛夕性格,离开,-0.490704168434
葛夕性格,完全,-0.732156895064
葛夕性格,气势,1.08319864299
葛夕性格,奇怪,-1.5193253102
葛夕性格,完全,-0.732156895064
葛夕性格,完成,1.5153090997
葛夕性格,离婚,-0.340345729153
葛夕性格,依赖,0.96855096731
葛夕性格,自我,0.484853567827
葛夕性格,独立,1.58237352948
葛夕性格,独立,1.58237352948
葛夕性格,缺少,-0.20092835535
葛夕性格,精神,-0.322828622668
葛夕性格,分歧,0.0474236163683
葛夕性格,问题,-1.12998368608
葛夕性格,相当,0.832530449103
葛夕性格,好,2.07329376355
葛夕性格,基本,1.0
葛夕性格,清晰,0.690545570953
葛夕性格,罪魁祸首,-2.74006473195
葛夕性格,不惜,0.548644737129
葛夕性格,希望,1.03220855601
葛夕性格,好,2.07329376355
葛夕性格,参加,1.18878381931
葛夕性格,派头,1.12771799229
葛夕性格,参加,1.18878381931
葛夕性格,有钱,-0.596104427648
葛夕性格,爱人,1.9606614446
葛夕性格,有意思,0.745766966504
葛夕性格,独立,1.58237352948
葛夕性格,偏爱,1.02421590077
葛夕性格,可爱,2.5488941332
葛夕性格,花里胡哨,-0.189076173513
葛夕性格,正好,0.850593145973
葛夕性格,相反,-0.457753512031
葛夕性格,其实,0.162622900364
葛夕性格,温柔,2.0
葛夕性格,软弱,-0.124513080269
葛夕性格,强大,2.6405376804
葛夕性格,蠢,-1.24456036241
葛夕性格,通透,2.0
葛夕性格,希望,1.03220855601
葛夕性格,达到,1.51074700685
葛夕性格,理想,2.25142928373
葛夕性格,通透,2.0
葛夕性格,好,2.07329376355
葛夕性格,心疼,-1.24599279362
葛夕性格,原来,-0.293616919899
葛夕性格,抑郁,-1.97635827394
葛夕性格,知道,-0.316330302785
葛夕性格,无病呻吟,-2.0
葛夕性格,善良,1.25682766731
葛夕性格,心机,0.225889520456
葛夕性格,善良,1.25682766731
葛夕性格,考虑,-0.264632813368
葛夕性格,不好,-1.38899748421
